Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000AjUZJqxdPmXab0W7vt,01/07/2024,16:24:25,Card payment,Snappy Snaps Crouch En,🎁,General,-4.00,GBP,-4.00,GBP,,30 The Broadway,,Snappy Snaps Crouch En London        GBR,,-4.00,
tx_0000AjUaKUFzPfVYNVWIF9,01/07/2024,16:35:44,Card payment,Clocktower Greens,🍎,Groceries,-4.99,GBP,-4.99,GBP,,52 The Broadway,,CLOCKTOWER GREENS      LONDON        GBR,,-4.99,
tx_0000AjW2vmroAyCcWHIlY9,02/07/2024,09:30:56,Card payment,Bath Potters Supplies,🧱,Shopping,-98.26,GBP,-98.26,GBP,,,,BATH POTTERS SUPPLIES  RADSTOCK      GBR,,-98.26,
tx_0000AjW71LUJHc28jtchyj,02/07/2024,10:16:46,Card payment,Booking40528871684,🛫,Holidays,-104.36,GBP,-104.36,GBP,,Suite 1  3rd Floor 11-12 St. James S Square,,booking40528871684     ONLINE        GBR,,-104.36,
tx_0000AjW8bNccvRrUjHGCSP,02/07/2024,10:34:29,Card payment,Booking40528871684,🛫,Holidays,-1.20,GBP,-1.20,GBP,,Suite 1  3rd Floor 11-12 St. James S Square,,booking40528871684     ONLINE        GBR,,-1.20,
tx_0000AjbGXuBTgo2p6XPwWH,04/07/2024,21:57:03,Card payment,The Woodman,🍺,Entertainment,-22.10,GBP,-22.10,GBP,,414 Archway Road,,The Woodman            London        GBR,,-22.10,
tx_0000AjdxnGuq8mPZMlSkuf,06/07/2024,05:11:04,Card payment,Wizz Air,🛩,Holidays,-18.50,GBP,-18.50,GBP,,Ash House Littleton Road,,Gate Retail Wizz GBP   Ashford       GBR,,-18.50,
tx_0000AjeBUZKKrXtr3MiQ54,06/07/2024,07:44:33,Card payment,Bus Stop Kiosk,📰,Groceries,-1.78,GBP,-2.10,EUR,,ATHINON AVE,,BUS STOP KIOSK         LARNACA       CYP,,-1.78,
tx_0000AjeUPg3UJlJuiNkh1N,06/07/2024,11:16:34,Card payment,Taverna Ouzeri Efraim,🍽,Eating out,-29.68,GBP,-35.00,EUR,,"Apostolou Louka Str. ,plateia Kouklion 1",,TAVERNA OUZERI EFRAIM  PAPHOS        CYP,,-29.68,
tx_0000AjevW5tvplNI0jPHuc,06/07/2024,16:20:15,Card payment,Periptero Maria Thanou,📰,Groceries,-1.70,GBP,-2.00,EUR,,,,PERIPTERO MARIA THANOU LARNACA       CYP,,-1.70,
tx_0000AjevXrt0uaEbPa0QXx,06/07/2024,16:20:35,Card payment,Periptero Maria Thanou,📰,Groceries,-0.85,GBP,-1.00,EUR,,,,PERIPTERO MARIA THANOU LARNACA       CYP,,-0.85,
