Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000AlZKvra57gU9E3VF4L,01/09/2024,19:20:59,Card payment,Spotify,🎵,Bills,-19.99,GBP,-19.99,GBP,,1-11 John Adam Street                        ,,Spotify                London        GBR,,-19.99,
tx_0000AlaRnZxtd1b2F66bCu,02/09/2024,08:12:37,Card payment,Transport for London,🚆,Transport,-9.90,GBP,-9.90,GBP,"Travel charge for Monday, 2 Sep","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-9.90,
tx_0000AlcRkQt7JD2DDaCvAn,03/09/2024,07:21:28,Faster payment,AMERICAN EXP 3773,,Transfers,-342.78,GBP,-342.78,GBP,PB404161063229499,,,PB404161063229499,,-342.78,
tx_0000AlcwCJLtuwD1PRUj3p,03/09/2024,13:02:40,Card payment,J And R Kiosk,🍎,Groceries,-1.30,GBP,-1.30,GBP,,"1 Booking Office, Chancery Lane",,J and R Kiosk          London        GBR,,-1.30,
tx_0000AldGOFZrm9rfqZLnd3,03/09/2024,16:48:56,Card payment,M&S,🛍 ,Eating out,-10.40,GBP,-10.40,GBP,,Heron House 323-324 High Holborn,,MARKS&SPENCER PLC SF   CHANCERY LANE GBR,,-10.40,
tx_0000Ale2aflD37fcprPfkH,04/09/2024,01:49:00,Faster payment,CONNOLLY RETAIL LT,,Income,239.35,GBP,239.35,GBP,CONNOLLY/ EXPENSES,,,CONNOLLY/ EXPENSES,,,239.35
tx_0000AlelWSq7dswW4b5Knh,04/09/2024,10:12:29,Card payment,Transport for London,🚆,Transport,-3.70,GBP,-3.70,GBP,"Travel charge for Tuesday, 3 Sep",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.70,
tx_0000AleofwQJJu5EZYHS1R,04/09/2024,10:47:48,Card payment,M&S,🛍 ,Eating out,-8.20,GBP,-8.20,GBP,,Heron House 323-324 High Holborn,,MARKS&SPENCER PLC SF   CHANCERY LANE GBR,,-8.20,
tx_0000Alf2o5m9pZutW6E7wf,04/09/2024,13:26:09,Card payment,Sainsbury’s,🍏,Groceries,-2.20,GBP,-2.20,GBP,,MARE STREET,,SAINSBURYS             LONDON        GBR,,-2.20,
tx_0000Alf4MPSpEk5PMnV4OC,04/09/2024,13:43:33,Card payment,Transport for London,🚆,Transport,-2.80,GBP,-2.80,GBP,"Travel charge for Wednesday, 4 Sep","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-2.80,
tx_0000Alf6oRZ7DWSC01dHOM,04/09/2024,14:11:02,Card payment,Sidney Rose MiniMarket,🍏,Groceries,-5.98,GBP,-5.98,GBP,,Maddox Street,,SIDNEY ROSE            LONDON  W1S   GBR,,-5.98,
tx_0000AlfOCknD52GXcE2iri,04/09/2024,17:25:55,Card payment,M&S,🛍 ,Eating out,-11.40,GBP,-11.40,GBP,,71 Crouch End Hill,,MARKS&SPENCER PLC SF   CROUCH END    GBR,,-11.40,
tx_0000AlfOeqK27EdACZLLRR,04/09/2024,17:30:59,Card payment,Waitrose & Partners,🍏,Groceries,-5.40,GBP,-5.40,GBP,,35-39 The Broadway,,WAITROSE               LONDON        GBR,,-5.40,
tx_0000AlglxMCgoNTqyPfvBj,05/09/2024,09:26:46,Card payment,Foto Plus,📷,Shopping,-2.00,GBP,-2.00,GBP,,3 Park Road,,FOTO PLUS              LONDON  N8 8  GBR,,-2.00,
tx_0000Algs4lx84iMGr2VcSQ,05/09/2024,10:35:16,Card payment,Pret,☕,Eating out,-10.59,GBP,-10.59,GBP,,"Main Concourse, Waterloo Station",,PRET A MANGER          HULL          GBR,,-10.59,
tx_0000AlgygXhI7lfYP9vNzt,05/09/2024,11:49:23,Card payment,Caffè Nero,☕,Eating out,-3.98,GBP,-3.98,GBP,,333 High Holborn,,CAFFE NERO 86 HIGH HOL LONDON        GBR,,-3.98,
tx_0000AlgzOErDX2EwZSBsVV,05/09/2024,11:57:17,Card payment,Lime Payoff X23q,🚗,Transport,-1.45,GBP,-1.45,GBP,,Hays Galleria 1 Hays Lane,,LIME*PAYOFF X23Q       LONDON        GBR,,-1.45,
tx_0000AlgzboL4vIeFJaKcQT,05/09/2024,11:59:44,Card payment,Lime Auth X23q,🚗,Transport,-10.00,GBP,-10.00,GBP,,Hays Galleria 1 Hays Lane,,LIME*AUTH X23Q         LONDON        GBR,,-10.00,
tx_0000Alh1CErfsWgu0ciYEL,05/09/2024,12:17:31,Card payment,Lime Ride X23q,🚗,Transport,3.78,GBP,3.78,GBP,,,,LIME*RIDE X23Q         LONDON        GBR,,,3.78
tx_0000AlhQ7cFc02n6srgeCv,05/09/2024,16:56:49,Card payment,J And R Kiosk,🍎,Groceries,-1.30,GBP,-1.30,GBP,,"1 Booking Office, Chancery Lane",,J and R Kiosk          London        GBR,,-1.30,
tx_0000AlhQAiKXqvQxZjtRwJ,05/09/2024,16:57:22,Card payment,The Martial Ac,,General,-10.00,GBP,-10.00,GBP,,,,SumUp  *The martial ac Tilbury       GBR,,-10.00,
tx_0000AlhWth6xpbA2Gv2KuZ,05/09/2024,18:12:44,Card payment,Lime Auth X23q,🚗,Transport,-10.00,GBP,-10.00,GBP,,Hays Galleria 1 Hays Lane,,LIME*AUTH X23Q         LONDON        GBR,,-10.00,
tx_0000AlhX84D8kCKkJQ9ylv,05/09/2024,18:15:20,Card payment,Lime Ride X23q,🚗,Transport,8.13,GBP,8.13,GBP,,,,LIME*RIDE X23Q         LONDON        GBR,,,8.13
tx_0000AlhYYnzvESQGQZnCYk,05/09/2024,18:31:22,Card payment,Lime Pass X23q,🚗,Transport,-36.99,GBP,-36.99,GBP,,Hays Galleria 1 Hays Lane,,LIME*PASS X23Q         LONDON        GBR,,-36.99,
tx_0000AlhYxgVoCWskx5mPJK,05/09/2024,18:35:52,Card payment,Crouch End Greens Ltd,🍎,Groceries,-10.75,GBP,-10.75,GBP,,59b Park Road,,Crouch End Greens LTD  London        GBR,,-10.75,
tx_0000AliBJzvQV4jieejCwj,06/09/2024,01:45:41,Card payment,Transport for London,🚆,Transport,-12.30,GBP,-12.30,GBP,"Travel charge for Thursday, 5 Sep","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-12.30,
tx_0000AliLWeAtg7RdFzi40X,06/09/2024,03:40:02,Card payment,Transport for London,🚆,Transport,-3.70,GBP,-3.70,GBP,"Travel charge for Thursday, 5 Sep","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-3.70,
tx_0000AlidaT3ikN9K9FQAt7,06/09/2024,07:02:24,Card payment,Jolene Hornsey Roa,🍞,Groceries,-15.20,GBP,-15.20,GBP,,60 Durham Road,,SQ *JOLENE HORNSEY ROA London        GBR,,-15.20,
tx_0000Alj59BYuUPSLXZnqE5,06/09/2024,12:11:13,Card payment,J And R Kiosk,🍎,Groceries,-1.30,GBP,-1.30,GBP,,"1 Booking Office, Chancery Lane",,J and R Kiosk          London        GBR,,-1.30,
tx_0000AljQiVZ6CzB9O2rD2P,06/09/2024,16:12:54,Card payment,J And R Kiosk,🍎,Groceries,-1.00,GBP,-1.00,GBP,,"1 Booking Office, Chancery Lane",,J and R Kiosk          London        GBR,,-1.00,
tx_0000AljWmzxHlBu8kx1I7X,06/09/2024,17:20:57,Card payment,Waitrose & Partners,🍏,Groceries,-6.61,GBP,-6.61,GBP,,35-39 The Broadway,,WAITROSE               LONDON        GBR,,-6.61,
tx_0000Alkw3n9ZIoECKXXZj7,07/09/2024,09:38:49,Card payment,M&S,🛍 ,Eating out,-17.80,GBP,-17.80,GBP,,71 Crouch End Hill,,MARKS&SPENCER PLC SF   CROUCH END    GBR,,-17.80,
tx_0000Alkxo76xX1HI7SG7EY,07/09/2024,09:58:24,Card payment,Waitrose & Partners,🍏,Groceries,-27.30,GBP,-27.30,GBP,,35-39 The Broadway,,WAITROSE               LONDON        GBR,,-27.30,
tx_0000AllRCDUQMjJWOT0jvl,07/09/2024,15:27:42,Card payment,Ls The Wells Tavern,🍽,Eating out,-8.20,GBP,-8.20,GBP,,30 Well Walk,,LS The Wells Tavern    London        GBR,,-8.20,
tx_0000Aln1FB95KQNU4HMXq5,08/09/2024,09:46:19,Card payment,But First Coff,🍽,Eating out,-6.60,GBP,-6.60,GBP,,43 Quernmore Road,,Zettle_*But First Coff London        GBR,,-6.60,
tx_0000Aln1O7GL8PzeqBbIbx,08/09/2024,09:47:56,Card payment,But First Coff,🍽,Eating out,-2.40,GBP,-2.40,GBP,,43 Quernmore Road,,Zettle_*But First Coff London        GBR,,-2.40,
tx_0000Aln5w51wL9oc2BQzzd,08/09/2024,10:38:54,Monzo-to-Monzo,Nicholas Antoniades,,Transfers,-40.00,GBP,-40.00,GBP,,,,,,-40.00,
tx_0000AlnDD1cSySWTIuiTMP,08/09/2024,12:00:24,Card payment,Clocktower Greens,🍎,Groceries,-4.58,GBP,-4.58,GBP,,52 The Broadway,,CLOCKTOWER GREENS      LONDON        GBR,,-4.58,
tx_0000AlnDgFHtEfu7W1XArx,08/09/2024,12:05:40,Card payment,Waitrose & Partners,🍏,Groceries,-14.85,GBP,-14.85,GBP,,35-39 The Broadway,,WAITROSE               LONDON        GBR,,-14.85,
tx_0000AlngoZ04j3F5dRDy3n,08/09/2024,17:32:07,Card payment,Cu Convenience,🍎,Groceries,-6.49,GBP,-6.49,GBP,,347 Archway Road,,PPOINT_*CU CONVENIENCE London        GBR,,-6.49,
tx_0000AlozyRMg3rVhrsbbEn,09/09/2024,08:41:31,Card payment,E5 Bakehouse,🍞,Eating out,-9.30,GBP,-9.30,GBP,,396 Mentmore Terrace,,e5 Bakehouse Ltd       London        GBR,,-9.30,
tx_0000AlpC04Npfw62Ru075F,09/09/2024,10:56:16,Card payment,E5 Bakehouse,🍞,Eating out,-4.10,GBP,-4.10,GBP,,396 Mentmore Terrace,,e5 Bakehouse Ltd       London        GBR,,-4.10,
tx_0000AlpFX77mnvDWI78N0r,09/09/2024,11:35:51,Card payment,Haringey Council,,Bills,-561.00,GBP,-561.00,GBP,,10 Station Road Woodgreen,,WWW.HARINGEY.GOV.UK    LONDON        GBR,,-561.00,
tx_0000AlpGyqj1TEBLoEItxB,09/09/2024,11:52:05,Pot transfer,Emergency Savings Pot,,Savings,2100.00,GBP,2100.00,GBP,,,,,,,2100.00
tx_0000AlpHVE1WNoQqtiHjOb,09/09/2024,11:57:56,Card payment,M&S,🛍 ,Eating out,-8.20,GBP,-8.20,GBP,,Heron House 323-324 High Holborn,,MARKS&SPENCER PLC SF   CHANCERY LANE GBR,,-8.20,
tx_0000AlpHcVqqUwkluWCa8Z,09/09/2024,11:59:14,Card payment,J And R Kiosk,🍎,Groceries,-1.00,GBP,-1.00,GBP,,"1 Booking Office, Chancery Lane",,J and R Kiosk          London        GBR,,-1.00,
tx_0000AlpbXto00YUNmSILiL,09/09/2024,15:42:30,Faster payment,"M A Dos Santos, Silvia Bazzarelli",,General,-2100.00,GBP,-2100.00,GBP,1 Montenotte Rent,,,1 Montenotte Rent,,-2100.00,
