Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000AjhC3rHsf2OX0Nc0dF,07/07/2024,18:35:04,Card payment,Vinted,👕,Shopping,-0.10,GBP,-0.10,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-0.10,
tx_0000AjhC410sV6kpkavM94,07/07/2024,18:35:05,Card payment,Vinted,👕,Shopping,0.10,GBP,0.10,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,,0.10
tx_0000AjhKVbctHVwVKhexUY,07/07/2024,20:09:43,Card payment,Vinted,👕,Shopping,-12.00,GBP,-12.00,GBP,,109 Kesperry House,,MGP*Vinted 99917365    London        GBR,,-12.00,
tx_0000Ajicxi3CyvCopSeE0f,08/07/2024,11:11:12,Card payment,Vinted,👕,Shopping,-142.39,GBP,-142.39,GBP,,109 Kesperry House,,MGP*Vinted 99966429    London        GBR,,-142.39,
tx_0000AjjKj272VRO5LwoemH,08/07/2024,19:21:34,Card payment,Vinted,👕,Shopping,-173.89,GBP,-173.89,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-173.89,
tx_0000AjjQ0UcuFDpTcRQURV,08/07/2024,20:20:45,Card payment,Vinted,👕,Shopping,-8.85,GBP,-8.85,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-8.85,
tx_0000AjjQt5AEcASPrqw7mr,08/07/2024,20:30:37,Card payment,Vinted,👕,Shopping,-24.60,GBP,-24.60,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-24.60,
tx_0000Ajk1FSGgzWVFDeGaqx,09/07/2024,03:18:02,Card payment,Vinted,👕,Shopping,142.39,GBP,142.39,GBP,,109 Kesperry House,,MGP-VINTED\109 Kesperry House\London\SE13XB       GBR,,,142.39
tx_0000AjkJYq2ocANmpG7dIX,09/07/2024,06:43:14,Card payment,Vinted,👕,Shopping,-25.65,GBP,-25.65,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-25.65,
tx_0000AjkcHAT7pxH66diasD,09/07/2024,10:12:56,Card payment,Vinted,👕,Shopping,-27.32,GBP,-27.32,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-27.32,
