Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000AmdazEYeZcpahnRI1Z,03/10/2024,18:31:49,Card payment,Vinted,👕,Shopping,-7.55,GBP,-7.55,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-7.55,
tx_0000AmeeLpLUyJt1izX3j7,04/10/2024,06:44:13,Card payment,Vinted,👕,Shopping,-8.85,GBP,-8.85,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-8.85,
tx_0000AmfprWJ6aNI5XK2G5x,04/10/2024,20:27:55,Card payment,Vinted,👕,Shopping,-7.20,GBP,-7.20,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-7.20,
tx_0000AmlcXb6ussRhd6yq9b,07/10/2024,15:26:55,Card payment,Vinted,👕,Shopping,-11.22,GBP,-11.22,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-11.22,
tx_0000Amlk91gHl4Bal3bHTG,07/10/2024,16:52:07,Card payment,Vinted,👕,Shopping,-5.70,GBP,-5.70,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-5.70,
tx_0000AmlmROKWUKB2FD9Ck5,07/10/2024,17:17:51,Card payment,Vinted,👕,Shopping,-7.89,GBP,-7.89,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-7.89,
tx_0000Amm2BVyPtuMmzxEo2T,07/10/2024,20:14:15,Card payment,Vinted,👕,Shopping,-17.20,GBP,-17.20,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-17.20,
tx_0000Ammw7FFxhtjkQmoojZ,08/10/2024,06:40:58,Card payment,Vinted,👕,Shopping,-18.94,GBP,-18.94,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-18.94,
tx_0000AmpSEM12YmgZA7UQ6b,09/10/2024,11:50:14,Flex,,,Transfers,70.00,GBP,70.00,GBP,Extra payment,,,Flex,,,70.00
tx_0000AmtFOq41AwYADufAyw,11/10/2024,07:45:19,Card payment,Lime Pass X23q,🚗,Transport,-36.99,GBP,-36.99,GBP,,,,LIME*PASS X23Q         +448008085223 GBR,,-36.99,
tx_0000AmviyXWCtE5uZOECuH,12/10/2024,12:26:08,Card payment,The Grocery Post,☕️,Groceries,-23.50,GBP,-23.50,GBP,,269 Archway Road,,SQ *GROCERY POST - HIG London        GBR,,-23.50,
tx_0000AmxI1gbbFhDbNspG0Q,13/10/2024,06:33:35,Card payment,Vinted,👕,Shopping,-3.32,GBP,-3.32,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-3.32,
tx_0000An0MwiV9rDtAErMWRP,14/10/2024,18:12:51,Card payment,Vinted,👕,Shopping,-9.85,GBP,-9.85,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-9.85,
tx_0000An1wTCvLyRnqgjQaLS,15/10/2024,12:25:36,Card payment,Wetransfer Bb2119b7,💻,General,-11.00,GBP,-11.00,GBP,,Keizersgracht 281,,WETRANSFER* BB2119B7   +31208100779  NLD,,-11.00,
tx_0000An4HoPEzrVqWOpe0fa,16/10/2024,15:34:10,Card payment,Vinted,👕,Shopping,-8.20,GBP,-8.20,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-8.20,
tx_0000An8QVz3s8NdSs5VCmQ,18/10/2024,15:30:32,Card payment,Jackson's Art,🎨,Shopping,-33.10,GBP,-33.10,GBP,,,,www.jacksonsart.com    London        GBR,,-33.10,
tx_0000AnFy1iyW8T0XXtzauw,22/10/2024,06:49:00,Card payment,Vinted,👕,Shopping,-11.97,GBP,-11.97,GBP,,109 Kesperry House,,MGP*Vinted             London        GBR,,-11.97,
tx_0000AnIAj8ips6A79qC5Yn,23/10/2024,08:20:44,Card payment,Lime Pass X23q,🚗,Transport,-36.99,GBP,-36.99,GBP,,,,LIME*PASS X23Q         +448008085223 GBR,,-36.99,
tx_0000AnKLkWsf1Z7RVMA16P,24/10/2024,09:33:40,Card payment,Sp Connolly England,💻,Entertainment,-32.50,GBP,-32.50,GBP,,"1st Floor, Sheraton House, Lower Road, Chorle",,SP CONNOLLY ENGLAND    +442079526708 GBR,,-32.50,
tx_0000AnLI16fDXsLG9BJ8gz,24/10/2024,20:26:33,Card payment,London Doctors Clinic,🏥,General,-20.00,GBP,-20.00,GBP,,,,LONDON DOCTORS CLINIC  +442080038553 GBR,,-20.00,
tx_0000AnMJfyVd3z0StwqBNa,25/10/2024,08:19:51,Card payment,London Doctors Clinic,🏥,General,-236.70,GBP,-236.70,GBP,,6-10 Borough High Street,,LONDON DOCTORS CLINIC  LONDON        GBR,,-236.70,
tx_0000AnMjuCuGvbdXH4ktFK,25/10/2024,13:13:44,Flex,,,Transfers,1395.34,GBP,1395.34,GBP,Extra payment,,,Flex,,,1395.34
